,image_file,fixation_file,image_size,center_index,is_salient
0,test\data\toronto\fixdens\images\1.jpg,test\data\toronto\fixdens\output\d1.jpg,"(681, 511)","[391, 365]",salient
1,test\data\toronto\fixdens\images\1.jpg,test\data\toronto\fixdens\output\d1.jpg,"(681, 511)","[391, 355]",salient
2,test\data\toronto\fixdens\images\1.jpg,test\data\toronto\fixdens\output\d1.jpg,"(681, 511)","[387, 349]",salient
3,test\data\toronto\fixdens\images\1.jpg,test\data\toronto\fixdens\output\d1.jpg,"(681, 511)","[372, 354]",salient
4,test\data\toronto\fixdens\images\1.jpg,test\data\toronto\fixdens\output\d1.jpg,"(681, 511)","[381, 345]",salient
5,test\data\toronto\fixdens\images\1.jpg,test\data\toronto\fixdens\output\d1.jpg,"(681, 511)","[387, 364]",salient
6,test\data\toronto\fixdens\images\1.jpg,test\data\toronto\fixdens\output\d1.jpg,"(681, 511)","[384, 345]",salient
7,test\data\toronto\fixdens\images\1.jpg,test\data\toronto\fixdens\output\d1.jpg,"(681, 511)","[371, 360]",salient
8,test\data\toronto\fixdens\images\1.jpg,test\data\toronto\fixdens\output\d1.jpg,"(681, 511)","[368, 354]",salient
9,test\data\toronto\fixdens\images\1.jpg,test\data\toronto\fixdens\output\d1.jpg,"(681, 511)","[386, 354]",salient
10,test\data\toronto\fixdens\images\1.jpg,test\data\toronto\fixdens\output\d1.jpg,"(681, 511)","[305, 211]",non_salient
11,test\data\toronto\fixdens\images\1.jpg,test\data\toronto\fixdens\output\d1.jpg,"(681, 511)","[221, 35]",non_salient
12,test\data\toronto\fixdens\images\1.jpg,test\data\toronto\fixdens\output\d1.jpg,"(681, 511)","[490, 671]",non_salient
13,test\data\toronto\fixdens\images\1.jpg,test\data\toronto\fixdens\output\d1.jpg,"(681, 511)","[453, 3]",non_salient
14,test\data\toronto\fixdens\images\1.jpg,test\data\toronto\fixdens\output\d1.jpg,"(681, 511)","[179, 69]",non_salient
15,test\data\toronto\fixdens\images\1.jpg,test\data\toronto\fixdens\output\d1.jpg,"(681, 511)","[244, 121]",non_salient
16,test\data\toronto\fixdens\images\1.jpg,test\data\toronto\fixdens\output\d1.jpg,"(681, 511)","[238, 135]",non_salient
17,test\data\toronto\fixdens\images\1.jpg,test\data\toronto\fixdens\output\d1.jpg,"(681, 511)","[429, 611]",non_salient
18,test\data\toronto\fixdens\images\1.jpg,test\data\toronto\fixdens\output\d1.jpg,"(681, 511)","[157, 90]",non_salient
19,test\data\toronto\fixdens\images\1.jpg,test\data\toronto\fixdens\output\d1.jpg,"(681, 511)","[358, 626]",non_salient
20,test\data\toronto\fixdens\images\1.jpg,test\data\toronto\fixdens\output\d1.jpg,"(681, 511)","[16, 138]",non_salient
21,test\data\toronto\fixdens\images\1.jpg,test\data\toronto\fixdens\output\d1.jpg,"(681, 511)","[109, 27]",non_salient
22,test\data\toronto\fixdens\images\1.jpg,test\data\toronto\fixdens\output\d1.jpg,"(681, 511)","[453, 559]",non_salient
23,test\data\toronto\fixdens\images\1.jpg,test\data\toronto\fixdens\output\d1.jpg,"(681, 511)","[171, 224]",non_salient
24,test\data\toronto\fixdens\images\1.jpg,test\data\toronto\fixdens\output\d1.jpg,"(681, 511)","[50, 639]",non_salient
25,test\data\toronto\fixdens\images\1.jpg,test\data\toronto\fixdens\output\d1.jpg,"(681, 511)","[458, 434]",non_salient
26,test\data\toronto\fixdens\images\1.jpg,test\data\toronto\fixdens\output\d1.jpg,"(681, 511)","[276, 429]",non_salient
27,test\data\toronto\fixdens\images\1.jpg,test\data\toronto\fixdens\output\d1.jpg,"(681, 511)","[146, 664]",non_salient
28,test\data\toronto\fixdens\images\1.jpg,test\data\toronto\fixdens\output\d1.jpg,"(681, 511)","[98, 373]",non_salient
29,test\data\toronto\fixdens\images\1.jpg,test\data\toronto\fixdens\output\d1.jpg,"(681, 511)","[49, 0]",non_salient
30,test\data\toronto\fixdens\images\2.jpg,test\data\toronto\fixdens\output\d2.jpg,"(681, 511)","[337, 182]",salient
31,test\data\toronto\fixdens\images\2.jpg,test\data\toronto\fixdens\output\d2.jpg,"(681, 511)","[324, 176]",salient
32,test\data\toronto\fixdens\images\2.jpg,test\data\toronto\fixdens\output\d2.jpg,"(681, 511)","[324, 182]",salient
33,test\data\toronto\fixdens\images\2.jpg,test\data\toronto\fixdens\output\d2.jpg,"(681, 511)","[333, 184]",salient
34,test\data\toronto\fixdens\images\2.jpg,test\data\toronto\fixdens\output\d2.jpg,"(681, 511)","[337, 183]",salient
35,test\data\toronto\fixdens\images\2.jpg,test\data\toronto\fixdens\output\d2.jpg,"(681, 511)","[331, 178]",salient
36,test\data\toronto\fixdens\images\2.jpg,test\data\toronto\fixdens\output\d2.jpg,"(681, 511)","[339, 190]",salient
37,test\data\toronto\fixdens\images\2.jpg,test\data\toronto\fixdens\output\d2.jpg,"(681, 511)","[340, 170]",salient
38,test\data\toronto\fixdens\images\2.jpg,test\data\toronto\fixdens\output\d2.jpg,"(681, 511)","[338, 181]",salient
39,test\data\toronto\fixdens\images\2.jpg,test\data\toronto\fixdens\output\d2.jpg,"(681, 511)","[324, 168]",salient
40,test\data\toronto\fixdens\images\2.jpg,test\data\toronto\fixdens\output\d2.jpg,"(681, 511)","[83, 301]",non_salient
41,test\data\toronto\fixdens\images\2.jpg,test\data\toronto\fixdens\output\d2.jpg,"(681, 511)","[0, 62]",non_salient
